id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6054250,The Rad Pad—Quiet Modern Nest 2 Blocks off Haywood Road,1826173,Meg,28806,35.57517,-82.57827,Entire home/apt,97,1,700,2/8/2021,9.87,2,216
6056098,Mountain Beauty/City Convenience,31430181,Rob,28804,35.62716,-82.50869,Entire home/apt,165,2,125,12/14/2020,1.77,1,166
6079982,Graceful Heart Cottage,3572350,Grace,28732,35.42342,-82.47322,Entire home/apt,101,1,88,12/28/2020,1.26,1,125
6145162,"Downtown Asheville, Small Single - Best Value! -#7",7625694,John,28801,35.59058,-82.55014,Private room,52,2,237,11/26/2020,3.36,7,363
6170347,"Charm n Comfort: 1 mi to Biltmore Estate, 4 to DT!",32013434,Marilynn,28803,35.55061,-82.5348,Private room,50,1,271,12/20/2020,3.94,1,80
6180513,"Sunny, Modern Apartment in Vibrant Downtown Asheville",32054468,Jeremy,28801,35.59437,-82.56054,Entire home/apt,181,1,72,2/15/2021,1.04,4,333
6197585,Sunny West Asheville Studio Apt.,32065101,Aimee,28806,35.56829,-82.61405,Entire home/apt,58,30,107,1/13/2021,1.53,1,153
6227094,Groove Stone Getaway,32297877,Louis,28805,35.57819,-82.47713,Entire home/apt,83,30,72,1/10/2021,1.03,1,232
6234618,"West Side Loft- Cozy, Clean & Comfortable",32351091,Monica,28806,35.58215,-82.61086,Entire home/apt,60,2,203,11/22/2020,2.94,1,0
6290666,Mountain View Charming Space Five Mins to Downtown,21539203,Dorothy,28805,35.59373,-82.53663,Entire home/apt,98,1,463,2/8/2021,6.6,3,291
6362850,Your Chic Mountain Getaway in the Forest!,33151095,Tiff,28803,35.51689,-82.48087,Entire home/apt,66,1,213,1/15/2021,3.04,6,42
6363332,"Welcome to ""Cozy Oak Cottage""",32221473,Randy,28803,35.56746,-82.52602,Entire home/apt,66,30,15,12/1/2020,0.22,2,113
6399802,Downtown Asheville With a View - Great Value! -#11,7625694,John,28801,35.59085,-82.5497,Private room,92,1,303,12/13/2020,4.32,7,356
6452410,Stay in historic downtown suburb,16023445,Tara,28801,35.6117,-82.55088,Entire home/apt,75,5,185,7/25/2020,2.7,2,81
6503015,Unwind at the Sweet Spot Three Blocks from Town,1884805,Elizabeth,28801,35.60002,-82.5578,Private room,92,1,481,2/10/2021,6.91,2,107
6609327,The Barn At Mountain Meadows,26946813,Anna,28804,35.63373,-82.49752,Entire home/apt,295,2,9,1/24/2021,0.38,3,277
6698737,"Serene, spacious, cozy and clean!",29622653,Kelly,28806,35.57591,-82.59421,Private room,43,28,280,12/18/2020,4.03,2,349
6711659,Hip Downtown Hideaway - Close to Mission Hospital,35135871,Sabrina,28801,35.59033,-82.54559,Entire home/apt,57,90,182,3/17/2020,2.65,1,102
6715120,Comfy home 10 min to downtown.,35157681,Matthew And Jennifer,28806,35.6174,-82.60122,Entire home/apt,131,2,131,2/14/2021,1.91,1,178
6724476,"Convenient to Downtown Asheville, BRP & Biltmore!",20940902,Megan,28803,35.55554,-82.4759,Entire home/apt,165,1,224,1/19/2021,3.23,1,357
6760016,"Bright, urban chic apt min from Avl",35390402,Elisa,28704,35.44831,-82.50911,Entire home/apt,95,2,114,1/17/2021,1.66,1,171
6765734,"Female Dorm ""Top Bunk #2"" at Sharky's Hostel",746673,BonPaul,28806,35.57895,-82.59566,Shared room,31,1,89,10/25/2020,1.31,7,68
6765832,"Private Room ""Hitchcock"" BPS Hostel",746673,BonPaul,28806,35.57895,-82.59566,Private room,69,1,51,2/15/2021,0.74,7,117
6775949,Cozy Cottage short walk to Downtown,35473023,Sherri,28801,35.60335,-82.55166,Entire home/apt,88,30,0,,,1,364
6813265,cozy bedroom in the heart of west asheville,31436003,Lee,28806,35.5808,-82.59533,Private room,53,1,137,11/27/2020,1.99,2,365
6818139,Downtown Asheville Music Lovers- Great Value! -#8,7625694,John,28801,35.59132,-82.55101,Private room,92,2,305,11/8/2020,4.42,7,361
6829875,"Sweet, private, detached guest studio",35778919,Cara And Eric,28805,35.58775,-82.49074,Entire home/apt,98,2,90,2/14/2021,1.31,1,81
7001873,Wren's Nest Studio near River Arts,11298793,Miriam,28806,35.59171,-82.59721,Entire home/apt,69,28,325,2/16/2020,4.73,1,324
7045303,Private Basement Suite in Walkable West Asheville,6676667,Elizabeth,28806,35.57816,-82.60324,Private room,125,2,99,12/1/2020,1.45,1,365
7063293,Mountaintop Log Cabin w/Pano View,14480896,Birgit,28704,35.48087,-82.506,Entire home/apt,300,3,15,1/5/2021,0.63,2,177
7064317,Thistledo - Cozy 1 Bedr. Private Apt,37039251,Vicki,28806,35.61641,-82.6422,Entire home/apt,58,2,61,1/2/2021,0.89,1,79
7340132,Yurt Nest at Green Oaks Community,481489,Valerie,28804,35.63204,-82.58511,Entire home/apt,114,26,132,1/1/2019,1.96,3,61
